"Player","Team","REC","YDS","TDS","FL","FPTS"
"Tyler Kroft","MIA","7.2","89.1","0.6","0.0","19.9"
"Brayden Willis","SF","10.0","61.5","0.6","0.0","19.8"
"Drew Sample","CIN","8.6","78.9","0.5","0.1","19.4"
"Jeremy Ruckert","NYJ","6.4","97.3","0.5","0.0","19.2"
"Reggie Gilliam","BUF","8.3","64.8","0.6","0.0","18.9"
"Trevon Wesco","TEN","7.9","71.6","0.6","0.0","18.6"
"Tanner Hudson","CIN","8.0","74.2","0.4","0.0","18.1"
"Jody Fortson","KC","6.1","105.0","0.4","0.6","17.9"
"Andrew Beck","HOU","7.7","65.3","0.3","0.0","17.8"
"Will Mallory","IND","6.6","79.6","0.5","0.0","17.7"
"Cole Turner","WAS","4.8","98.6","0.4","0.1","16.8"
"Johnny Mundt","MIN","6.9","74.5","0.4","0.0","16.7"
"Luke Farrell","JAC","6.5","73.1","0.4","0.0","16.3"
"Curtis Hodges","WAS","6.3","60.1","0.6","0.0","15.9"
"Quintin Morris","BUF","5.5","78.1","0.4","0.1","15.9"
"Armani Rogers","WAS","7.3","57.3","0.4","0.0","15.4"
"Jesper Horsted","LV","5.8","65.4","0.5","0.0","15.1"
"Ross Dwelley","SF","3.6","79.2","0.6","0.0","15.0"
"Chris Manhertz","DEN","5.6","66.5","0.4","0.0","14.9"
"Mitchell Wilcox","CIN","6.3","69.2","0.3","0.0","14.7"
"Devin Asiasi","CIN","5.6","61.9","0.4","0.0","14.3"
"Anthony Firkser","NE","5.8","54.3","0.4","0.0","13.3"
"Shane Zylstra","DET","3.9","72.1","0.3","0.1","12.9"
"Eric Tomlinson","HOU","5.5","49.9","0.4","0.0","12.7"
"Kevin Rader","TEN","4.8","51.0","0.4","0.0","12.3"
"Grant Calcaterra","PHI","3.4","65.9","0.3","0.1","11.7"
"Giovanni Ricci","CAR","2.4","69.7","0.3","0.1","11.4"
"Tommy Sweeney","NYG","3.7","56.8","0.3","0.1","10.7"
"MyCole Pruitt","ATL","3.2","52.3","0.3","0.0","10.4"
"Charlie Woerner","SF","3.2","50.7","0.3","0.1","10.0"
"Dominique Dafney","TB","3.9","39.8","0.3","0.0","9.6"
"Tanner Conner","MIA","4.0","37.7","0.3","0.0","9.4"
"David Wells","TB","3.2","31.7","0.4","0.0","9.1"
"Chris Myarick","NYG","3.7","34.4","0.3","0.0","8.6"
"Mason Schreck","HOU","3.6","35.2","0.2","0.0","8.6"
"Dalton Keene","HOU","3.6","35.1","0.2","0.0","8.6"
