"Player","Team","REC","YDS","TDS","RATT","RYDS","RTDS","FL","FPTS"
"Elijah Moore","CLE","44.3","600.3","3.3","6.2","30.9","0.3","0.1","128.3"
"Jayden Reed","GB","47.0","614.1","3.2","2.3","15.6","0.1","0.7","127.9"
"Van Jefferson","LAR","42.0","608.4","3.9","0.7","5.1","0.0","0.1","126.5"
"Donovan Peoples-Jones","CLE","43.0","638.6","3.1","0.4","0.5","0.0","0.6","124.2"
"Robert Woods","HOU","52.2","534.2","2.5","4.2","21.1","0.2","0.4","123.1"
"Isaiah Hodgins","NYG","46.0","512.6","4.5","0.0","0.6","0.0","0.6","122.9"
"Russell Gage","TB","60.5","509.1","1.8","0.7","1.8","0.0","0.3","122.2"
"Mecole Hardman Jr.","NYJ","42.3","505.1","3.0","7.9","60.7","0.8","0.8","120.0"
"Alec Pierce","IND","42.7","620.7","2.6","0.0","0.2","0.0","0.2","120.0"
"Rashod Bateman","BAL","40.8","612.5","3.1","0.0","0.2","0.0","0.9","118.9"
"Jameson Williams","DET","37.2","562.7","3.0","1.9","20.4","0.1","0.5","113.2"
"Mack Hollins","ATL","42.1","496.6","2.8","0.5","12.2","0.1","0.2","109.9"
"Rashid Shaheed","NO","33.5","521.2","2.2","3.6","42.6","0.8","0.1","107.2"
"Marvin Jones Jr.","DET","37.9","496.2","3.2","0.1","0.5","0.0","0.1","106.5"
"John Metchie III","HOU","38.7","513.4","2.6","0.9","8.1","0.0","0.2","106.2"
"Chase Claypool","CHI","35.7","494.6","2.7","5.5","37.2","0.2","0.5","105.3"
"Darius Slayton","NYG","35.4","543.4","2.3","0.5","1.5","0.0","0.5","102.8"
"Parris Campbell","NYG","39.7","459.4","2.2","3.6","35.6","0.1","0.3","102.5"
"Allen Robinson II","PIT","38.3","473.1","2.6","0.1","0.4","0.0","0.1","101.3"
"Rashee Rice","KC","33.5","488.5","3.1","1.2","8.0","0.0","0.4","100.9"
"Joshua Palmer","LAC","37.5","449.7","2.2","0.5","1.8","0.0","0.1","95.5"
"Marvin Mims Jr.","DEN","30.7","450.2","2.4","1.0","6.0","0.0","0.2","90.2"
"Kendrick Bourne","NE","31.9","419.2","1.8","5.3","35.2","0.2","0.2","88.7"
"Wan'Dale Robinson","NYG","34.1","420.0","1.8","2.6","11.2","0.1","0.5","87.3"
"Tyquan Thornton","NE","29.3","384.7","2.3","3.2","13.9","0.7","0.1","87.1"
"Greg Dortch","ARI","37.7","369.7","1.4","5.9","43.6","0.1","0.5","86.9"
"Josh Reynolds","DET","29.8","411.9","2.3","0.2","0.4","0.0","0.2","84.5"
"Michael Wilson","ARI","32.9","409.5","1.5","0.6","6.0","0.0","0.2","83.2"
"Jalin Hyatt","NYG","28.3","413.3","2.0","1.2","8.5","0.0","0.4","81.9"
"Nick Westbrook-Ikhine","TEN","28.4","393.8","2.4","0.0","0.4","0.0","0.2","81.8"
"Ben Skowronek","LAR","34.0","357.1","1.4","0.4","5.0","0.3","0.0","80.5"
"Randall Cobb","NYJ","32.1","336.8","2.0","0.1","0.9","0.0","0.2","77.6"
"Sterling Shepard","NYG","29.7","349.0","1.7","2.7","16.4","0.1","0.1","76.9"
"Terrace Marshall Jr.","CAR","25.1","402.5","1.5","0.0","0.1","0.0","0.1","74.5"
"Robbie Chosen","MIA","30.3","332.7","1.7","0.3","1.9","0.0","0.2","73.6"
"Khalil Shakir","BUF","24.2","370.7","1.6","1.1","6.7","0.1","0.2","71.6"
"Tank Dell","HOU","25.4","370.7","1.5","1.1","7.2","0.0","0.6","71.4"
"Tutu Atwell","LAR","22.8","334.0","1.2","7.2","34.9","0.4","0.2","69.2"
"Puka Nacua","LAR","25.0","364.0","1.2","0.7","4.1","0.0","0.2","68.8"
"Josh Downs","IND","23.7","355.0","1.5","0.8","6.4","0.0","0.2","68.5"
"Trey Palmer","TB","28.8","309.2","1.4","0.3","4.6","0.0","0.1","68.5"
"Richie James Jr.","KC","24.4","338.7","2.0","0.6","1.8","0.0","1.6","67.5"
"Braxton Berrios","MIA","25.7","287.7","1.5","1.5","18.9","0.3","0.3","66.4"
"Isaiah McKenzie","IND","24.2","279.8","1.3","8.2","41.9","0.3","0.1","65.6"
"Laviska Shenault Jr.","CAR","20.5","259.3","0.8","16.8","84.6","0.7","0.2","63.4"
"Amari Rodgers","IND","21.0","303.7","1.7","0.0","11.1","0.0","0.0","62.6"
"Quez Watkins","PHI","20.6","301.8","1.4","0.5","0.9","0.0","0.2","59.0"
"Chris Moore","TEN","24.3","263.0","1.1","1.2","3.2","0.0","0.0","57.3"
"Anthony Miller","SF","21.7","285.1","0.9","0.0","10.7","0.1","0.0","57.2"
"Kalif Raymond","DET","20.4","236.0","1.3","2.3","22.4","0.2","0.2","54.6"
"Trent Sherfield","BUF","19.5","257.8","1.3","0.0","0.6","0.0","0.1","53.2"
"Marquez Callaway","DEN","19.0","223.0","1.4","0.0","0.2","0.0","0.0","49.4"
"Noah Brown","HOU","19.6","247.8","0.9","0.1","0.5","0.0","0.2","49.3"
"Jauan Jennings","SF","18.5","241.7","1.1","0.0","0.2","0.0","0.1","49.3"
"Cedric Tillman","CLE","15.0","275.6","1.0","0.6","3.9","0.0","0.2","48.7"
"Demario Douglas","NE","21.7","217.5","0.6","0.4","2.2","0.0","0.1","47.2"
"Olamide Zaccheaus","PHI","17.7","220.8","1.1","0.6","1.8","0.0","0.3","45.6"
"Demarcus Robinson","LAR","19.7","205.0","0.9","0.0","0.2","0.0","0.1","45.6"
"Dyami Brown","WAS","13.3","214.9","1.7","0.8","8.7","0.0","0.0","45.6"
"Jamal Agnew","JAC","15.9","147.5","0.8","5.7","50.6","0.3","0.2","42.0"
"Cedrick Wilson Jr.","MIA","16.5","186.6","0.9","0.2","0.6","0.0","0.0","40.8"
"Charlie Jones","CIN","15.2","198.4","1.0","0.7","5.6","0.0","0.5","40.7"
"David Moore","TB","16.8","172.0","0.9","0.1","6.5","0.1","0.1","40.4"
"Dontayvion Wicks","GB","17.6","173.2","0.8","0.2","3.9","0.0","0.1","40.3"
"Deven Thompkins","TB","16.7","169.6","0.8","0.1","10.2","0.1","0.1","39.7"
"Kyle Philips","TEN","14.2","207.8","0.7","0.7","3.8","0.0","0.2","39.4"
"Marquise Goodwin","CLE","12.7","176.2","1.2","1.5","7.7","0.0","0.0","38.4"
"Cade Johnson","SEA","14.6","168.0","1.1","0.0","1.7","0.0","0.0","38.0"
"Calvin Austin III","PIT","14.7","187.1","0.7","0.3","3.2","0.0","0.1","37.9"
"Trenton Irwin","CIN","15.9","163.7","0.9","0.1","0.6","0.0","0.2","37.6"
"Zach Pascal","ARI","15.4","160.0","0.8","0.1","1.1","0.0","0.1","36.3"
"KhaDarel Hodge","ATL","13.2","151.3","0.9","0.0","3.0","0.0","0.1","34.1"
"Samori Toure","GB","12.7","161.3","0.8","0.3","2.8","0.0","0.1","33.5"
"Justin Watson","KC","11.4","162.4","0.9","0.0","0.2","0.0","0.0","33.1"
"Deonte Harty","BUF","11.6","169.6","0.6","2.6","13.7","0.0","0.3","32.9"
"Parker Washington","JAC","14.0","138.0","0.6","0.3","1.5","0.0","0.1","31.2"
"Justyn Ross","KC","8.5","179.1","0.8","0.5","2.7","0.0","0.1","31.2"
"Jalen Guyton","LAC","10.3","142.7","0.6","0.9","2.9","0.0","0.0","28.5"
"Devin Duvernay","BAL","6.4","132.8","0.4","4.6","41.1","0.2","0.1","27.6"
"Brandon Powell","MIN","12.0","99.0","0.5","1.4","23.9","0.0","0.1","27.3"
"Britain Covey","PHI","8.4","130.4","0.8","0.0","6.7","0.1","0.0","27.1"
"Tre Nixon","NE","8.6","126.9","0.8","0.0","6.3","0.0","0.0","26.7"
"David Bell","CLE","8.5","160.9","0.3","0.0","0.2","0.0","0.0","26.5"
"Jalen Nailor","MIN","10.0","105.8","0.7","0.3","1.7","0.0","0.1","24.7"
"Phillip Dorsett II","LV","8.9","107.0","0.7","0.0","1.0","0.0","0.0","23.9"
"Kendall Hinton","DEN","9.2","104.2","0.5","0.8","7.3","0.0","0.0","23.6"
"Equanimeous St. Brown","CHI","8.0","109.4","0.5","1.1","11.2","0.0","0.1","23.3"
"Derius Davis","LAC","11.4","86.4","0.4","0.1","5.1","0.0","0.0","23.2"
"Kayshon Boutte","NE","1.4","199.1","0.2","1.5","5.1","0.1","0.1","23.1"
"DeAndre Carter","LV","9.0","108.9","0.4","0.6","7.4","0.0","0.2","22.9"
"Steven Sims Jr.","HOU","7.1","92.8","0.5","0.0","24.2","0.2","0.1","22.8"
"Jalen Tolbert","DAL","7.2","123.5","0.5","0.5","2.7","0.0","0.1","22.7"
"Dee Eskridge","SEA","9.0","83.8","0.4","2.8","17.6","0.1","0.0","22.0"
"Keith Kirkwood","NO","8.3","105.3","0.5","0.0","0.6","0.0","0.0","22.0"
"Penny Hart","ATL","8.9","103.0","0.5","0.0","0.0","0.0","0.1","21.7"
"Tre'Quan Smith","NO","8.1","103.4","0.6","0.0","0.3","0.0","0.0","21.7"
"Cole Beasley","NYG","8.5","93.5","0.6","0.0","0.2","0.0","0.0","21.3"
"Nelson Agholor","BAL","4.9","137.0","0.4","0.2","1.0","0.0","0.2","20.6"
"Scott Miller","ATL","6.8","94.1","0.3","0.4","5.0","0.1","0.0","18.9"
